species_group,cover_type,distribution,stage1_params,stage2_params,aicc_stage2
auf,f,weibull,"a = 0.28±0.00, beta = 0.10±0.00","a = 0.28±0.00, beta = 0.10±0.00",-247.36279360768805
auf,m,gamma,"beta = 10.90±4.35, p = 0.71±0.59","beta = 10.90±1.13, p = 0.71±0.05",-195.47460827530736
auf,r,gamma,"beta = 0.37±0.07, p = 33.14±6.39","beta = 0.37±0.05, p = 33.14±4.47",-71.39205519767171
boj,f,gamma,"beta = 24.72±9.99, p = 0.92±0.36","beta = 24.72±2.67, p = 0.92±0.08",-266.24983028966915
boj,m,weibull,"a = 1.02±0.14, beta = 21.50±1.55","a = 1.02±0.04, beta = 21.50±1.46",-288.4584287292511
boj,r,gamma,"beta = 8.18±3.71, p = 2.37±1.05","beta = 8.18±1.55, p = 2.37±0.45",-180.8895242373979
bop,f,weibull,"a = 2.28±0.08, beta = 18.22±0.22","a = 2.28±0.05, beta = 18.22±0.21",-238.01933009761635
bop,m,weibull,"a = 1.77±0.07, beta = 15.52±0.25","a = 1.77±0.03, beta = 15.52±0.21",-256.3997170966391
bop,r,gamma,"beta = 5.69±1.85, p = 1.70±0.85","beta = 5.69±0.50, p = 1.70±0.12",-159.93593148132442
chce,f,weibull,"a = 3.42±0.28, beta = 27.09±0.68","a = 3.42±0.23, beta = 27.09±0.65",-236.70291078896037
chce,m,weibull,"a = 1.13±0.43, beta = 28.25±7.11","a = 1.13±0.12, beta = 28.25±4.34",-175.3904432925717
chce,r,weibull,"a = 0.16±6.80, beta = 0.10±1.81","a = 0.16±0.13, beta = 0.10±0.07",-28.336051519233237
ers,f,weibull,"a = 1.35±0.05, beta = 19.09±0.34","a = 1.35±0.02, beta = 19.09±0.30",-337.66101584207615
ers,m,weibull,"a = 1.66±0.12, beta = 22.22±0.73","a = 1.66±0.07, beta = 22.22±0.71",-252.80967023548035
ers,r,gamma,"beta = 5.52±13.71, p = 1.46±6.16","beta = 5.52±2.41, p = 1.46±0.48",-28.337659771733613
erx,f,weibull,"a = 1.69±0.14, beta = 16.63±0.60","a = 1.69±0.06, beta = 16.63±0.52",-225.33155661811685
erx,m,gamma,"beta = 3.53±0.18, p = 4.21±0.23","beta = 3.53±0.08, p = 4.21±0.10",-292.0433936817082
erx,r,gamma,"beta = 3.03±1.11, p = 3.39±1.64","beta = 3.03±0.29, p = 3.39±0.28",-111.15282257003719
peu,f,weibull,"a = 2.49±0.24, beta = 29.46±1.18","a = 2.49±0.19, beta = 29.46±1.09",-234.7983840049186
peu,m,weibull,"a = 2.95±0.13, beta = 26.76±0.41","a = 2.95±0.10, beta = 26.76±0.39",-266.20469715140854
peu,r,gamma,"beta = 4.26±1.30, p = 5.43±1.49","beta = 4.26±0.91, p = 5.43±1.08",-159.6053058628519
pib,f,gamma,"beta = 7.80±5.91, p = 1.21±1.49","beta = 7.80±1.52, p = 1.21±0.17",-130.68523856647218
pib,m,gamma,"beta = 3519611.71±375525802816.10, p = 0.70±0.86","beta = 3519921.00±10328544.73, p = 0.70±0.19",-234.03108526184164
pib,r,weibull,"a = 2.37±0.22, beta = 36.04±1.57","a = 2.37±0.18, beta = 36.04±1.40",-261.6262744501036
pir,m,weibull,"a = 0.78±1.57, beta = 4460.50±756065.40","a = 0.78±0.17, beta = 4460.51±3885.64",-68.17072035955375
pir,r,gamma,"beta = 16.41±18.54, p = 3.00±2.12","beta = 16.41±5.28, p = 3.00±0.80",-51.70920757530077
sepm,f,gamma,"beta = 5.11±1.23, p = 1.41±0.66","beta = 5.11±0.30, p = 1.41±0.07",-217.3105206314101
sepm,m,weibull,"a = 1.08±0.06, beta = 9.15±0.56","a = 1.08±0.01, beta = 9.15±0.11",-303.897552566279
sepm,r,gamma,"beta = 3.09±0.13, p = 3.92±0.19","beta = 3.09±0.04, p = 3.92±0.05",-280.21641577189257
topu,f,weibull,"a = 0.66±0.53, beta = 3.83±7.43","a = 0.66±0.07, beta = 3.83±0.31",-159.21360205520187
topu,m,weibull,"a = 1.21±0.12, beta = 16.80±0.97","a = 1.21±0.04, beta = 16.80±0.73",-290.2053941709048
topu,r,gamma,"beta = 5.24±0.51, p = 4.22±0.38","beta = 5.24±0.35, p = 4.22±0.27",-294.42387685039284
