species_group,cover_type,distribution,rel_l2_hps
sepm,r,weibull,4.40546889538017
sepm,r,gamma,4.71981002727439
bop,m,weibull,8.49455166668884
bop,m,gamma,7.9724630145005095
ers,f,weibull,4.18507821459748
ers,f,gamma,7.051271421894099
