species_group,cover_type,distribution,sample_size,rss_control_hps,rss_test_stand,rss_diff_stand,rel_l2_stand,rel_l2_hps,chisq_control,chisq_test
sepm,r,weibull,152875,2343775.434075013,51740802789.884254,20837126553.09268,0.013158589536602422,0.04405468895380177,2928.196956134858,86495.88441746766
sepm,r,gamma,152875,2432005.0955910697,54214084047.20164,27584314671.782177,0.01513873296259567,0.047198100272743945,1511.2601392737386,96737.69904844475
bop,m,weibull,40125,586621.2542964545,3966575050.6512895,2321507809.9092393,0.023096826186994348,0.08494551666688846,535.2117384020196,45844.06318118595
bop,m,gamma,40125,602821.660974994,3914715562.4061923,2326636270.1062613,0.023120710643507653,0.07972463014500514,509.9616262547563,42992.75748119607
ers,f,weibull,32250,236851.05989110147,1214810467.76525,531296502.55660015,0.019027218712469998,0.041850782145974846,298.10545833186444,11069.946172299708
ers,f,gamma,32250,216322.314191281,1596337074.2290475,506097965.6793423,0.018602180651809522,0.07051271421894105,254.30096742271022,18607.818445315374
